,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
11414,Pontiac,1,Tuesday,May,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11447,Accura,1,Wednesday,Apr,0.75,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
11450,Honda,1,Tuesday,Apr,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11512,Mazda,1,Thursday,Apr,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11577,Honda,1,Friday,Nov,0.75,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
11583,Toyota,1,Monday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
11600,Honda,1,Tuesday,Apr,0.75,1,Married,0,Sedan - Liability,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
11667,Honda,1,Thursday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
11675,Honda,1,Monday,Apr,0.75,0,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
11681,Mazda,1,Wednesday,May,0.25,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,26 to 30,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11690,Toyota,1,Monday,Apr,0.75,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
11762,Honda,1,Thursday,May,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,51 to 65,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
11782,Chevrolet,1,Tuesday,Apr,0.75,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11807,Honda,1,Tuesday,Apr,0.75,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sport,Collision,0
11871,Toyota,1,Tuesday,May,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,6 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
11898,Pontiac,1,Thursday,May,0.0,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11900,BMW,1,Tuesday,May,0.25,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11901,Honda,1,Friday,May,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
11909,Pontiac,1,Friday,May,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,51 to 65,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
11914,Honda,1,Tuesday,May,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
11918,Ford,1,Friday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11939,Pontiac,1,Thursday,May,0.25,1,Single,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
11972,Mazda,1,Friday,Jul,0.75,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,1 to 2,no change,3 to 4,All Perils,True,Sedan,All Perils,0
11981,Saab,1,Tuesday,May,0.25,0,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
11997,Toyota,0,Tuesday,May,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,1.0,0.3333333333333333,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12003,Mazda,1,Tuesday,May,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12010,Chevrolet,1,Thursday,May,0.5,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12024,Toyota,1,Thursday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12036,Mazda,1,Monday,Jun,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
12044,Toyota,1,Monday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12051,Accura,1,Wednesday,May,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12084,Chevrolet,1,Monday,Jul,0.25,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12097,Chevrolet,1,Monday,May,0.75,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12119,Honda,1,Monday,May,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
12152,Toyota,1,Friday,May,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,1.0,1.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12156,Mazda,0,Thursday,May,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,6 years,26 to 30,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12160,Pontiac,1,Wednesday,Aug,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
12172,Pontiac,1,Wednesday,May,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12174,Toyota,1,Wednesday,May,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,3 years,21 to 25,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12182,Mazda,1,Tuesday,May,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12188,Pontiac,1,Saturday,May,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12213,Honda,0,Wednesday,May,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12231,Pontiac,1,Monday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12236,Pontiac,1,Tuesday,May,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12244,Pontiac,1,Monday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12248,Chevrolet,1,Wednesday,May,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12278,Toyota,1,Wednesday,May,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
12292,Pontiac,1,Tuesday,May,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12366,Ford,1,Thursday,May,0.75,1,Married,0,Sedan - Liability,Sport,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
12387,Pontiac,1,Monday,May,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
12391,Chevrolet,1,Tuesday,Jun,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
12415,Toyota,1,Friday,May,0.75,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Liability,False,Sedan,Liability,1
12426,Chevrolet,1,Friday,May,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,over 65,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12432,Chevrolet,1,Wednesday,Jul,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,36 to 40,0,0,0,more than 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
12455,Honda,1,Monday,May,1.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12503,Mazda,1,Friday,May,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12518,Chevrolet,1,Wednesday,May,1.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12529,Honda,0,Monday,May,1.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12549,Pontiac,1,Tuesday,May,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12568,Honda,1,Wednesday,May,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12653,Honda,1,Friday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
12672,Toyota,1,Thursday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12723,Pontiac,1,Monday,Jun,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12724,Chevrolet,1,Friday,Jun,0.25,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12739,Toyota,1,Tuesday,Jun,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12746,Pontiac,1,Wednesday,Jun,0.5,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12747,Pontiac,1,Friday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,more than 7,41 to 50,0,0,1,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12803,Honda,1,Monday,Jun,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12809,Toyota,0,Monday,Jun,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12825,Chevrolet,1,Monday,Jun,0.25,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12834,Mazda,1,Monday,Jun,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,1.0,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
12842,Saturn,1,Tuesday,Jun,0.25,1,Married,0,Sedan - All Perils,Sedan,60000 to 69000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12848,Honda,0,Monday,Jun,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,4 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12864,Pontiac,1,Thursday,Aug,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
12921,Mazda,1,Thursday,Jun,0.5,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
12999,Honda,1,Friday,Jun,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
13026,Mazda,1,Tuesday,Jun,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13067,Honda,1,Thursday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
13087,Pontiac,1,Wednesday,Jun,0.75,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
13095,Chevrolet,1,Thursday,Jun,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13129,Chevrolet,0,Tuesday,Jul,0.0,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Utility,All Perils,0
13134,Mazda,1,Tuesday,Jul,0.25,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13142,Pontiac,0,Tuesday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13158,Toyota,1,Saturday,Jul,0.0,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
13210,Ford,0,Thursday,Aug,1.0,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13225,Accura,1,Wednesday,Jul,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
13229,Chevrolet,1,Monday,Jul,0.0,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
13231,Pontiac,1,Wednesday,Jul,0.0,1,Divorced,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13233,Honda,1,Tuesday,Jul,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,more than 4,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13241,Chevrolet,1,Tuesday,Jul,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13246,Honda,1,Wednesday,Jul,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13263,Pontiac,1,Tuesday,Jul,0.25,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,26 to 30,1,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13298,Toyota,1,Tuesday,Jul,0.25,1,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Liability,False,Sedan,Liability,1
13312,Pontiac,1,Thursday,Jul,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13350,Toyota,1,Tuesday,Jul,0.25,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13360,Honda,1,Thursday,Jul,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
13395,Pontiac,1,Wednesday,Aug,0.0,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13425,Toyota,1,Friday,Jul,0.75,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13447,Toyota,1,Wednesday,Jul,0.25,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.0,more than 30,15 to 30,none,more than 7,41 to 50,1,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
13448,Toyota,1,Wednesday,Oct,0.75,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.0,none,more than 30,none,7 years,41 to 50,0,0,0,none,no change,3 to 4,Collision,True,Sedan,Collision,0
13488,Pontiac,1,Monday,Jul,0.5,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13517,Mazda,1,Monday,Jul,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sport,Collision,0
13522,Ford,1,Friday,Sep,0.0,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13534,Chevrolet,1,Monday,Jul,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,51 to 65,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13584,Honda,1,Monday,Jul,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13625,Honda,1,Friday,Sep,0.5,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
13630,Ford,1,Friday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
